,Faixa de Gasto Baixa Credito,Faixa de Gasto Media Credito,Faixa de Gasto Alta Credito,Faixa de Gasto Muito Alta Credito,Faixa de Gasto Baixa Debito,Faixa de Gasto Media Debito,Faixa de Gasto Alta Debito,Faixa de Gasto Muito Alta Debito,Perfil de Investimento
818371,0.009673518742442563,0.03990326481257558,0.019347037484885126,0.009673518742442563,0.532043530834341,0.18016928657799275,0.18984280532043532,0.019347037484885126,ultraconservador
125630,0.01903114186851211,0.039792387543252594,0.029411764705882353,0.039792387543252594,0.47231833910034604,0.26124567474048443,0.12975778546712802,0.00865051903114187,ultraconservador
830798,0.050119331742243436,0.029832935560859187,0.050119331742243436,0.029832935560859187,0.31026252983293556,0.4701670644391408,0.059665871121718374,0.0,ultraconservador
673279,0.02977667493796526,0.04962779156327544,0.019851116625310174,0.009925558312655087,0.39081885856079407,0.4305210918114144,0.019851116625310174,0.04962779156327544,ultraconservador
823930,0.0195822454308094,0.009138381201044387,0.0195822454308094,0.030026109660574413,0.370757180156658,0.4608355091383812,0.09007832898172324,0.0,ultraconservador
851336,0.03983516483516483,0.009615384615384616,0.028846153846153848,0.04945054945054945,0.48214285714285715,0.33104395604395603,0.03983516483516483,0.019230769230769232,ultraconservador
291438,0.009562841530054645,0.01912568306010929,0.030054644808743168,0.01912568306010929,0.6325136612021858,0.24043715846994534,0.030054644808743168,0.01912568306010929,ultraconservador
637559,0.0091324200913242,0.0289193302891933,0.0197869101978691,0.0091324200913242,0.3515981735159817,0.4824961948249619,0.0593607305936073,0.0395738203957382,ultraconservador
147150,0.019469026548672566,0.019469026548672566,0.019469026548672566,0.019469026548672566,0.511504424778761,0.2,0.18053097345132743,0.03008849557522124,ultraconservador
372984,0.030141843971631204,0.008865248226950355,0.030141843971631204,0.01950354609929078,0.6223404255319149,0.04964539007092199,0.23049645390070922,0.008865248226950355,ultraconservador
183895,0.029411764705882353,0.040106951871657755,0.040106951871657755,0.029411764705882353,0.5414438502673797,0.06951871657754011,0.22058823529411764,0.029411764705882353,ultraconservador
738753,0.029345372460496615,0.029345372460496615,0.019187358916478554,0.04966139954853273,0.39164785553047404,0.3013544018058691,0.1399548532731377,0.039503386004514675,ultraconservador
583852,0.019024970273483946,0.04994054696789536,0.039239001189060645,0.019024970273483946,0.49227110582639716,0.25089179548156954,0.12009512485136742,0.009512485136741973,ultraconservador
250901,0.01897810218978102,0.049635036496350364,0.049635036496350364,0.01897810218978102,0.472992700729927,0.16058394160583941,0.2,0.029197080291970802,ultraconservador
872268,0.009345794392523364,0.0397196261682243,0.009345794392523364,0.01985981308411215,0.411214953271028,0.49182242990654207,0.009345794392523364,0.009345794392523364,ultraconservador
499127,0.019337016574585635,0.019337016574585635,0.04005524861878453,0.04005524861878453,0.4723756906077348,0.31077348066298344,0.06906077348066299,0.029005524861878452,ultraconservador
781151,0.018726591760299626,0.0299625468164794,0.018726591760299626,0.009363295880149813,0.46254681647940077,0.4232209737827715,0.018726591760299626,0.018726591760299626,ultraconservador
540999,0.02925531914893617,0.0199468085106383,0.04920212765957447,0.02925531914893617,0.48271276595744683,0.28058510638297873,0.0598404255319149,0.04920212765957447,ultraconservador
220249,0.038910505836575876,0.019455252918287938,0.019455252918287938,0.048638132295719845,0.3715953307392996,0.46303501945525294,0.038910505836575876,0.0,ultraconservador
656602,0.04918032786885246,0.04918032786885246,0.04918032786885246,0.04918032786885246,0.5442622950819672,0.03934426229508197,0.18032786885245902,0.03934426229508197,ultraconservador
787686,0.018979833926453145,0.02965599051008304,0.03914590747330961,0.02965599051008304,0.5527876631079478,0.05931198102016608,0.24080664294187426,0.02965599051008304,ultraconservador
684346,0.03934010152284264,0.01903553299492386,0.01903553299492386,0.008883248730964468,0.5431472081218274,0.3223350253807107,0.02918781725888325,0.01903553299492386,ultraconservador
771803,0.04991394148020654,0.039586919104991396,0.008605851979345954,0.008605851979345954,0.5129087779690189,0.31153184165232356,0.039586919104991396,0.029259896729776247,ultraconservador
269122,0.0186219739292365,0.03910614525139665,0.0186219739292365,0.0297951582867784,0.5232774674115456,0.260707635009311,0.1005586592178771,0.00931098696461825,ultraconservador
565940,0.02998696219035202,0.03911342894393742,0.01955671447196871,0.02998696219035202,0.4915254237288136,0.35071707953063885,0.02998696219035202,0.009126466753585397,ultraconservador
100287,0.03907380607814761,0.03907380607814761,0.01881331403762663,0.01881331403762663,0.5542691751085383,0.08972503617945007,0.22141823444283648,0.01881331403762663,ultraconservador
474768,0.03908045977011494,0.029885057471264367,0.03908045977011494,0.029885057471264367,0.37126436781609196,0.39195402298850573,0.059770114942528735,0.03908045977011494,ultraconservador
431360,0.039589442815249266,0.04985337243401759,0.02932551319648094,0.039589442815249266,0.6436950146627566,0.01906158357771261,0.1598240469208211,0.01906158357771261,ultraconservador
